FID_10,maj10,majper10,maj50,majper50,maj100,majper100,majit,majperit,IT_code_ITs,distance,size_km2,group,defit,def10,def50,def100
164.0000000,100.0000000,58.0525000,100.0000000,51.6560000,100.0000000,49.9857000,100.0000000,75.6823000,3908.0000000,4.0000000,26412.5703125,685.0000000,24.3176994,41.9474983,48.3440018,50.0143013
165.0000000,100.0000000,78.4279000,100.0000000,65.6058000,100.0000000,57.1468000,100.0000000,99.0963000,3729.0000000,74.0000000,890.1199951,691.0000000,0.9037000,21.5720997,34.3941994,42.8531990
166.0000000,100.0000000,83.9416000,100.0000000,84.9205000,100.0000000,87.7204000,100.0000000,94.3376000,4895.0000000,3.0000000,1798.9499512,166.0000000,5.6623998,16.0583992,15.0795002,12.2796001
167.0000000,100.0000000,73.8903000,100.0000000,65.1543000,100.0000000,68.0600000,100.0000000,95.3596000,3746.0000000,0.0000000,93.7300034,652.0000000,4.6403999,26.1096992,34.8456993,31.9400005
170.0000000,100.0000000,63.4133000,100.0000000,75.7590000,100.0000000,74.0167000,100.0000000,83.7372000,3875.0000000,18.0000000,411.8999939,652.0000000,16.2628002,36.5867004,24.2409992,25.9832993
171.0000000,100.0000000,66.5125000,75.0000000,50.3553000,100.0000000,49.4078000,100.0000000,98.3586000,3725.0000000,4.0000000,897.3800049,171.0000000,1.6414000,33.4874992,50.3553009,50.5922012
174.0000000,100.0000000,90.1606000,100.0000000,91.3457000,100.0000000,91.5339000,100.0000000,95.1873000,3655.0000000,34.0000000,15311.2695313,692.0000000,4.8126998,9.8394003,8.6542997,8.4660997
176.0000000,75.0000000,76.1113000,75.0000000,41.1270000,100.0000000,38.9629000,100.0000000,97.0775000,3690.0000000,2.0000000,478.4299927,176.0000000,2.9224999,76.1112976,41.1269989,61.0371017
177.0000000,100.0000000,69.5456000,100.0000000,75.7939000,100.0000000,77.7699000,100.0000000,65.4469000,4465.0000000,79.0000000,409.3399963,684.0000000,34.5531006,30.4543991,24.2061005,22.2301006
180.0000000,100.0000000,76.0995000,100.0000000,63.2243000,100.0000000,69.8424000,100.0000000,95.8240000,3899.0000000,49.0000000,1203.8900146,180.0000000,4.1760001,23.9004993,36.7756996,30.1576004
182.0000000,100.0000000,55.4384000,100.0000000,46.5778000,0.0000000,48.3082000,100.0000000,87.6964000,3847.0000000,29.0000000,1162.0500488,651.0000000,12.3036003,44.5615997,53.4221992,51.6917992
